$ emulator MultiCharts NAS100 3m 20210203-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 637250 barov 3m, 1911098 1m, 382434 HTF
  20000/637250 barov, 21 obchodov
  40000/637250 barov, 35 obchodov
  60000/637250 barov, 45 obchodov
  80000/637250 barov, 54 obchodov
  100000/637250 barov, 68 obchodov
  120000/637250 barov, 75 obchodov
  140000/637250 barov, 89 obchodov
  160000/637250 barov, 102 obchodov
  180000/637250 barov, 114 obchodov
  200000/637250 barov, 132 obchodov
  220000/637250 barov, 139 obchodov
  240000/637250 barov, 150 obchodov
  260000/637250 barov, 163 obchodov
  280000/637250 barov, 176 obchodov
  300000/637250 barov, 190 obchodov
  320000/637250 barov, 203 obchodov
  340000/637250 barov, 219 obchodov
  360000/637250 barov, 230 obchodov
  380000/637250 barov, 240 obchodov
  400000/637250 barov, 254 obchodov
  420000/637250 barov, 263 obchodov
  440000/637250 barov, 276 obchodov
  460000/637250 barov, 286 obchodov
  480000/637250 barov, 303 obchodov
  500000/637250 barov, 321 obchodov
  520000/637250 barov, 333 obchodov
  540000/637250 barov, 344 obchodov
  560000/637250 barov, 355 obchodov
  580000/637250 barov, 364 obchodov
  600000/637250 barov, 378 obchodov
  620000/637250 barov, 393 obchodov
hotovo: 404 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 75451, 'swing': 76435, 'structure': 61512, 'session': 4345, 'sd_zone_pre': 10171, 'sd_zone_post': 10171, 'tp_box': 538, 'sl_box': 538, 'skip': 526, 'expired': 121}
