$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 10 obchodov
  40000/646995 barov, 24 obchodov
  60000/646995 barov, 34 obchodov
  80000/646995 barov, 42 obchodov
  100000/646995 barov, 50 obchodov
  120000/646995 barov, 70 obchodov
  140000/646995 barov, 89 obchodov
  160000/646995 barov, 105 obchodov
  180000/646995 barov, 116 obchodov
  200000/646995 barov, 135 obchodov
  220000/646995 barov, 148 obchodov
  240000/646995 barov, 162 obchodov
  260000/646995 barov, 177 obchodov
  280000/646995 barov, 192 obchodov
  300000/646995 barov, 204 obchodov
  320000/646995 barov, 214 obchodov
  340000/646995 barov, 223 obchodov
  360000/646995 barov, 237 obchodov
  380000/646995 barov, 250 obchodov
  400000/646995 barov, 262 obchodov
  420000/646995 barov, 274 obchodov
  440000/646995 barov, 288 obchodov
  460000/646995 barov, 296 obchodov
  480000/646995 barov, 314 obchodov
  500000/646995 barov, 330 obchodov
  520000/646995 barov, 341 obchodov
  540000/646995 barov, 351 obchodov
  560000/646995 barov, 363 obchodov
  580000/646995 barov, 377 obchodov
  600000/646995 barov, 394 obchodov
  620000/646995 barov, 406 obchodov
  640000/646995 barov, 426 obchodov
hotovo: 433 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 76557, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 10312, 'sd_zone_post': 10312, 'liq_sweep': 8960, 'tp_box': 519, 'sl_box': 519, 'skip': 562, 'expired': 79, 'sr_level': 8, 'sr_golden': 6}
