$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 16 obchodov
  40000/646995 barov, 41 obchodov
  60000/646995 barov, 50 obchodov
  80000/646995 barov, 61 obchodov
  100000/646995 barov, 70 obchodov
  120000/646995 barov, 81 obchodov
  140000/646995 barov, 93 obchodov
  160000/646995 barov, 104 obchodov
  180000/646995 barov, 119 obchodov
  200000/646995 barov, 128 obchodov
  220000/646995 barov, 148 obchodov
  240000/646995 barov, 157 obchodov
  260000/646995 barov, 167 obchodov
  280000/646995 barov, 176 obchodov
  300000/646995 barov, 196 obchodov
  320000/646995 barov, 206 obchodov
  340000/646995 barov, 223 obchodov
  360000/646995 barov, 240 obchodov
  380000/646995 barov, 249 obchodov
  400000/646995 barov, 259 obchodov
  420000/646995 barov, 273 obchodov
  440000/646995 barov, 284 obchodov
  460000/646995 barov, 293 obchodov
  480000/646995 barov, 305 obchodov
  500000/646995 barov, 323 obchodov
  520000/646995 barov, 341 obchodov
  540000/646995 barov, 354 obchodov
  560000/646995 barov, 360 obchodov
  580000/646995 barov, 374 obchodov
  600000/646995 barov, 382 obchodov
  620000/646995 barov, 399 obchodov
  640000/646995 barov, 413 obchodov
hotovo: 419 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 76557, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 10312, 'sd_zone_post': 10312, 'liq_sweep': 8960, 'skip': 530, 'tp_box': 548, 'sl_box': 548, 'expired': 116, 'sr_level': 8, 'sr_golden': 6}
