$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 25 obchodov
  40000/646995 barov, 57 obchodov
  60000/646995 barov, 74 obchodov
  80000/646995 barov, 94 obchodov
  100000/646995 barov, 116 obchodov
  120000/646995 barov, 132 obchodov
  140000/646995 barov, 152 obchodov
  160000/646995 barov, 173 obchodov
  180000/646995 barov, 199 obchodov
  200000/646995 barov, 217 obchodov
  220000/646995 barov, 250 obchodov
  240000/646995 barov, 276 obchodov
  260000/646995 barov, 296 obchodov
  280000/646995 barov, 310 obchodov
  300000/646995 barov, 342 obchodov
  320000/646995 barov, 365 obchodov
  340000/646995 barov, 386 obchodov
  360000/646995 barov, 415 obchodov
  380000/646995 barov, 434 obchodov
  400000/646995 barov, 456 obchodov
  420000/646995 barov, 477 obchodov
  440000/646995 barov, 505 obchodov
  460000/646995 barov, 524 obchodov
  480000/646995 barov, 548 obchodov
  500000/646995 barov, 573 obchodov
  520000/646995 barov, 605 obchodov
  540000/646995 barov, 633 obchodov
  560000/646995 barov, 644 obchodov
  580000/646995 barov, 665 obchodov
  600000/646995 barov, 681 obchodov
  620000/646995 barov, 696 obchodov
  640000/646995 barov, 721 obchodov
hotovo: 732 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 109719, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 10991, 'sd_zone_post': 10991, 'tp_box': 868, 'sl_box': 868, 'liq_sweep': 8960, 'skip': 833, 'expired': 125, 'sr_level': 8, 'sr_golden': 6}
