$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 19 obchodov
  40000/646995 barov, 50 obchodov
  60000/646995 barov, 62 obchodov
  80000/646995 barov, 80 obchodov
  100000/646995 barov, 94 obchodov
  120000/646995 barov, 110 obchodov
  140000/646995 barov, 126 obchodov
  160000/646995 barov, 140 obchodov
  180000/646995 barov, 163 obchodov
  200000/646995 barov, 178 obchodov
  220000/646995 barov, 207 obchodov
  240000/646995 barov, 222 obchodov
  260000/646995 barov, 242 obchodov
  280000/646995 barov, 257 obchodov
  300000/646995 barov, 286 obchodov
  320000/646995 barov, 304 obchodov
  340000/646995 barov, 330 obchodov
  360000/646995 barov, 354 obchodov
  380000/646995 barov, 371 obchodov
  400000/646995 barov, 388 obchodov
  420000/646995 barov, 406 obchodov
  440000/646995 barov, 423 obchodov
  460000/646995 barov, 437 obchodov
  480000/646995 barov, 453 obchodov
  500000/646995 barov, 476 obchodov
  520000/646995 barov, 501 obchodov
  540000/646995 barov, 519 obchodov
  560000/646995 barov, 529 obchodov
  580000/646995 barov, 548 obchodov
  600000/646995 barov, 561 obchodov
  620000/646995 barov, 580 obchodov
  640000/646995 barov, 598 obchodov
hotovo: 604 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 109719, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 10991, 'sd_zone_post': 10991, 'liq_sweep': 8960, 'skip': 802, 'tp_box': 791, 'sl_box': 791, 'expired': 171, 'sr_level': 8, 'sr_golden': 6}
