$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 57 obchodov
  40000/646995 barov, 112 obchodov
  60000/646995 barov, 145 obchodov
  80000/646995 barov, 184 obchodov
  100000/646995 barov, 227 obchodov
  120000/646995 barov, 266 obchodov
  140000/646995 barov, 321 obchodov
  160000/646995 barov, 360 obchodov
  180000/646995 barov, 398 obchodov
  200000/646995 barov, 442 obchodov
  220000/646995 barov, 497 obchodov
  240000/646995 barov, 550 obchodov
  260000/646995 barov, 586 obchodov
  280000/646995 barov, 618 obchodov
  300000/646995 barov, 671 obchodov
  320000/646995 barov, 714 obchodov
  340000/646995 barov, 757 obchodov
  360000/646995 barov, 809 obchodov
  380000/646995 barov, 851 obchodov
  400000/646995 barov, 900 obchodov
  420000/646995 barov, 940 obchodov
  440000/646995 barov, 990 obchodov
  460000/646995 barov, 1028 obchodov
  480000/646995 barov, 1074 obchodov
  500000/646995 barov, 1130 obchodov
  520000/646995 barov, 1178 obchodov
  540000/646995 barov, 1227 obchodov
  560000/646995 barov, 1266 obchodov
  580000/646995 barov, 1314 obchodov
  600000/646995 barov, 1361 obchodov
  620000/646995 barov, 1413 obchodov
  640000/646995 barov, 1466 obchodov
hotovo: 1480 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 109719, 'swing': 77636, 'structure': 62446, 'session': 2950, 'sd_zone_pre': 25283, 'sd_zone_post': 25283, 'liq_sweep': 8960, 'tp_box': 1959, 'sl_box': 1959, 'skip': 2119, 'expired': 446, 'sr_level': 8, 'sr_golden': 6}
