$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 39 obchodov
  40000/646995 barov, 82 obchodov
  60000/646995 barov, 104 obchodov
  80000/646995 barov, 133 obchodov
  100000/646995 barov, 161 obchodov
  120000/646995 barov, 185 obchodov
  140000/646995 barov, 222 obchodov
  160000/646995 barov, 250 obchodov
  180000/646995 barov, 278 obchodov
  200000/646995 barov, 300 obchodov
  220000/646995 barov, 335 obchodov
  240000/646995 barov, 374 obchodov
  260000/646995 barov, 399 obchodov
  280000/646995 barov, 420 obchodov
  300000/646995 barov, 458 obchodov
  320000/646995 barov, 486 obchodov
  340000/646995 barov, 517 obchodov
  360000/646995 barov, 554 obchodov
  380000/646995 barov, 583 obchodov
  400000/646995 barov, 622 obchodov
  420000/646995 barov, 653 obchodov
  440000/646995 barov, 689 obchodov
  460000/646995 barov, 716 obchodov
  480000/646995 barov, 750 obchodov
  500000/646995 barov, 789 obchodov
  520000/646995 barov, 824 obchodov
  540000/646995 barov, 853 obchodov
  560000/646995 barov, 875 obchodov
  580000/646995 barov, 909 obchodov
  600000/646995 barov, 941 obchodov
  620000/646995 barov, 982 obchodov
  640000/646995 barov, 1021 obchodov
hotovo: 1034 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 96822, 'swing': 77636, 'structure': 62446, 'session': 4411, 'sd_zone_pre': 24610, 'sd_zone_post': 24610, 'liq_sweep': 8960, 'tp_box': 1358, 'sl_box': 1358, 'skip': 1500, 'expired': 295, 'sr_level': 8, 'sr_golden': 6}
