$ emulator MultiCharts NAS100 3m 20230904-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 341519 barov 3m, 1024021 1m, 204991 HTF
  20000/341519 barov, 9 obchodov
  40000/341519 barov, 15 obchodov
  60000/341519 barov, 22 obchodov
  80000/341519 barov, 27 obchodov
  100000/341519 barov, 33 obchodov
  120000/341519 barov, 41 obchodov
  140000/341519 barov, 45 obchodov
  160000/341519 barov, 50 obchodov
  180000/341519 barov, 54 obchodov
  200000/341519 barov, 67 obchodov
  220000/341519 barov, 72 obchodov
  240000/341519 barov, 78 obchodov
  260000/341519 barov, 86 obchodov
  280000/341519 barov, 93 obchodov
  300000/341519 barov, 98 obchodov
  320000/341519 barov, 109 obchodov
  340000/341519 barov, 120 obchodov
hotovo: 121 obchodov, nerozhodnutelnych minut 0
kresby: {'session': 2339, 'sd_zone_pre': 4950, 'sd_zone_post': 4950, 'imb_box': 22607, 'skip': 174, 'tp_box': 152, 'sl_box': 152, 'expired': 30}
