$ emulator MultiCharts NAS100 3m 20230904-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 341519 barov 3m, 1024021 1m, 204991 HTF
  20000/341519 barov, 11 obchodov
  40000/341519 barov, 19 obchodov
  60000/341519 barov, 27 obchodov
  80000/341519 barov, 33 obchodov
  100000/341519 barov, 39 obchodov
  120000/341519 barov, 48 obchodov
  140000/341519 barov, 55 obchodov
  160000/341519 barov, 61 obchodov
  180000/341519 barov, 70 obchodov
  200000/341519 barov, 87 obchodov
  220000/341519 barov, 97 obchodov
  240000/341519 barov, 105 obchodov
  260000/341519 barov, 114 obchodov
  280000/341519 barov, 123 obchodov
  300000/341519 barov, 130 obchodov
  320000/341519 barov, 141 obchodov
  340000/341519 barov, 153 obchodov
hotovo: 155 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 31877, 'session': 2339, 'sd_zone_pre': 5213, 'sd_zone_post': 5213, 'tp_box': 201, 'sl_box': 201, 'skip': 196, 'expired': 41}
