$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 22 obchodov
  40000/646995 barov, 54 obchodov
  60000/646995 barov, 71 obchodov
  80000/646995 barov, 88 obchodov
  100000/646995 barov, 103 obchodov
  120000/646995 barov, 129 obchodov
  140000/646995 barov, 158 obchodov
  160000/646995 barov, 180 obchodov
  180000/646995 barov, 201 obchodov
  200000/646995 barov, 223 obchodov
  220000/646995 barov, 251 obchodov
  240000/646995 barov, 269 obchodov
  260000/646995 barov, 291 obchodov
  280000/646995 barov, 312 obchodov
  300000/646995 barov, 340 obchodov
  320000/646995 barov, 356 obchodov
  340000/646995 barov, 376 obchodov
  360000/646995 barov, 402 obchodov
  380000/646995 barov, 421 obchodov
  400000/646995 barov, 438 obchodov
  420000/646995 barov, 461 obchodov
  440000/646995 barov, 485 obchodov
  460000/646995 barov, 501 obchodov
  480000/646995 barov, 530 obchodov
  500000/646995 barov, 558 obchodov
  520000/646995 barov, 583 obchodov
  540000/646995 barov, 603 obchodov
  560000/646995 barov, 617 obchodov
  580000/646995 barov, 638 obchodov
  600000/646995 barov, 659 obchodov
  620000/646995 barov, 682 obchodov
  640000/646995 barov, 712 obchodov
hotovo: 725 obchodov, nerozhodnutelnych minut 2
kresby: {'imb_box': 68577, 'session': 4411, 'sd_zone_pre': 10115, 'sd_zone_post': 10115, 'tp_box': 909, 'sl_box': 909, 'expired': 166, 'skip': 55}
