$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 388281 HTF
  20000/646995 barov, 12 obchodov
  40000/646995 barov, 32 obchodov
  60000/646995 barov, 40 obchodov
  80000/646995 barov, 50 obchodov
  100000/646995 barov, 57 obchodov
  120000/646995 barov, 65 obchodov
  140000/646995 barov, 74 obchodov
  160000/646995 barov, 82 obchodov
  180000/646995 barov, 95 obchodov
  200000/646995 barov, 104 obchodov
  220000/646995 barov, 119 obchodov
  240000/646995 barov, 126 obchodov
  260000/646995 barov, 135 obchodov
  280000/646995 barov, 142 obchodov
  300000/646995 barov, 155 obchodov
  320000/646995 barov, 162 obchodov
  340000/646995 barov, 175 obchodov
  360000/646995 barov, 187 obchodov
  380000/646995 barov, 193 obchodov
  400000/646995 barov, 201 obchodov
  420000/646995 barov, 214 obchodov
  440000/646995 barov, 221 obchodov
  460000/646995 barov, 227 obchodov
  480000/646995 barov, 239 obchodov
  500000/646995 barov, 255 obchodov
  520000/646995 barov, 271 obchodov
  540000/646995 barov, 283 obchodov
  560000/646995 barov, 288 obchodov
  580000/646995 barov, 301 obchodov
  600000/646995 barov, 309 obchodov
  620000/646995 barov, 323 obchodov
  640000/646995 barov, 335 obchodov
hotovo: 341 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 61686, 'session': 4411, 'sd_zone_pre': 9948, 'sd_zone_post': 9948, 'skip': 452, 'tp_box': 444, 'sl_box': 444, 'expired': 94}
