$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 15 obchodov
  40000/646995 barov, 29 obchodov
  60000/646995 barov, 45 obchodov
  80000/646995 barov, 59 obchodov
  100000/646995 barov, 73 obchodov
  120000/646995 barov, 91 obchodov
  140000/646995 barov, 127 obchodov
  160000/646995 barov, 148 obchodov
  180000/646995 barov, 162 obchodov
  200000/646995 barov, 175 obchodov
  220000/646995 barov, 190 obchodov
  240000/646995 barov, 208 obchodov
  260000/646995 barov, 219 obchodov
  280000/646995 barov, 230 obchodov
  300000/646995 barov, 243 obchodov
  320000/646995 barov, 257 obchodov
  340000/646995 barov, 274 obchodov
  360000/646995 barov, 292 obchodov
  380000/646995 barov, 310 obchodov
  400000/646995 barov, 327 obchodov
  420000/646995 barov, 352 obchodov
  440000/646995 barov, 373 obchodov
  460000/646995 barov, 384 obchodov
  480000/646995 barov, 404 obchodov
  500000/646995 barov, 433 obchodov
  520000/646995 barov, 452 obchodov
  540000/646995 barov, 472 obchodov
  560000/646995 barov, 491 obchodov
  580000/646995 barov, 510 obchodov
  600000/646995 barov, 533 obchodov
  620000/646995 barov, 568 obchodov
  640000/646995 barov, 594 obchodov
hotovo: 607 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 4421, 'sd_zone_pre': 34507, 'sd_zone_post': 34507, 'liq_sweep': 8960, 'skip': 910, 'tp_box': 798, 'sl_box': 798, 'expired': 187, 'sr_level': 8, 'sr_golden': 6}
