$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 13 obchodov
  40000/646995 barov, 34 obchodov
  60000/646995 barov, 51 obchodov
  80000/646995 barov, 57 obchodov
  100000/646995 barov, 74 obchodov
  120000/646995 barov, 98 obchodov
  140000/646995 barov, 138 obchodov
  160000/646995 barov, 162 obchodov
  180000/646995 barov, 178 obchodov
  200000/646995 barov, 209 obchodov
  220000/646995 barov, 227 obchodov
  240000/646995 barov, 250 obchodov
  260000/646995 barov, 268 obchodov
  280000/646995 barov, 284 obchodov
  300000/646995 barov, 297 obchodov
  320000/646995 barov, 316 obchodov
  340000/646995 barov, 328 obchodov
  360000/646995 barov, 346 obchodov
  380000/646995 barov, 366 obchodov
  400000/646995 barov, 380 obchodov
  420000/646995 barov, 403 obchodov
  440000/646995 barov, 424 obchodov
  460000/646995 barov, 437 obchodov
  480000/646995 barov, 459 obchodov
  500000/646995 barov, 497 obchodov
  520000/646995 barov, 520 obchodov
  540000/646995 barov, 530 obchodov
  560000/646995 barov, 554 obchodov
  580000/646995 barov, 573 obchodov
  600000/646995 barov, 599 obchodov
  620000/646995 barov, 634 obchodov
  640000/646995 barov, 671 obchodov
hotovo: 685 obchodov, nerozhodnutelnych minut 2
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 4415, 'sd_zone_pre': 34507, 'sd_zone_post': 34507, 'liq_sweep': 8960, 'tp_box': 893, 'sl_box': 893, 'expired': 198, 'skip': 38, 'sr_level': 8, 'sr_golden': 6}
