$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 129514 HTF
  20000/646995 barov, 1 obchodov
  40000/646995 barov, 1 obchodov
  60000/646995 barov, 3 obchodov
  80000/646995 barov, 3 obchodov
  100000/646995 barov, 5 obchodov
  120000/646995 barov, 5 obchodov
  140000/646995 barov, 7 obchodov
  160000/646995 barov, 9 obchodov
  180000/646995 barov, 10 obchodov
  200000/646995 barov, 11 obchodov
  220000/646995 barov, 14 obchodov
  240000/646995 barov, 14 obchodov
  260000/646995 barov, 15 obchodov
  280000/646995 barov, 16 obchodov
  300000/646995 barov, 16 obchodov
  320000/646995 barov, 18 obchodov
  340000/646995 barov, 18 obchodov
  360000/646995 barov, 19 obchodov
  380000/646995 barov, 19 obchodov
  400000/646995 barov, 20 obchodov
  420000/646995 barov, 20 obchodov
  440000/646995 barov, 24 obchodov
  460000/646995 barov, 24 obchodov
  480000/646995 barov, 28 obchodov
  500000/646995 barov, 29 obchodov
  520000/646995 barov, 31 obchodov
  540000/646995 barov, 33 obchodov
  560000/646995 barov, 34 obchodov
  580000/646995 barov, 35 obchodov
  600000/646995 barov, 37 obchodov
  620000/646995 barov, 42 obchodov
  640000/646995 barov, 43 obchodov
hotovo: 45 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 2944, 'sd_zone_pre': 5774, 'sd_zone_post': 5774, 'liq_sweep': 8960, 'tp_box': 55, 'sl_box': 55, 'expired': 9, 'sr_level': 8, 'sr_golden': 6}
