$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 2 obchodov
  40000/646995 barov, 7 obchodov
  60000/646995 barov, 9 obchodov
  80000/646995 barov, 10 obchodov
  100000/646995 barov, 13 obchodov
  120000/646995 barov, 15 obchodov
  140000/646995 barov, 22 obchodov
  160000/646995 barov, 30 obchodov
  180000/646995 barov, 33 obchodov
  200000/646995 barov, 38 obchodov
  220000/646995 barov, 43 obchodov
  240000/646995 barov, 51 obchodov
  260000/646995 barov, 55 obchodov
  280000/646995 barov, 60 obchodov
  300000/646995 barov, 65 obchodov
  320000/646995 barov, 66 obchodov
  340000/646995 barov, 69 obchodov
  360000/646995 barov, 72 obchodov
  380000/646995 barov, 74 obchodov
  400000/646995 barov, 77 obchodov
  420000/646995 barov, 80 obchodov
  440000/646995 barov, 83 obchodov
  460000/646995 barov, 84 obchodov
  480000/646995 barov, 91 obchodov
  500000/646995 barov, 97 obchodov
  520000/646995 barov, 98 obchodov
  540000/646995 barov, 98 obchodov
  560000/646995 barov, 101 obchodov
  580000/646995 barov, 105 obchodov
  600000/646995 barov, 111 obchodov
  620000/646995 barov, 116 obchodov
  640000/646995 barov, 120 obchodov
hotovo: 123 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 2946, 'sd_zone_pre': 26310, 'sd_zone_post': 26310, 'liq_sweep': 8960, 'skip': 81, 'tp_box': 158, 'sl_box': 158, 'expired': 35, 'sr_level': 8, 'sr_golden': 6}
