$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 1 obchodov
  40000/646995 barov, 6 obchodov
  60000/646995 barov, 8 obchodov
  80000/646995 barov, 9 obchodov
  100000/646995 barov, 11 obchodov
  120000/646995 barov, 12 obchodov
  140000/646995 barov, 17 obchodov
  160000/646995 barov, 23 obchodov
  180000/646995 barov, 26 obchodov
  200000/646995 barov, 30 obchodov
  220000/646995 barov, 35 obchodov
  240000/646995 barov, 41 obchodov
  260000/646995 barov, 48 obchodov
  280000/646995 barov, 50 obchodov
  300000/646995 barov, 51 obchodov
  320000/646995 barov, 52 obchodov
  340000/646995 barov, 54 obchodov
  360000/646995 barov, 55 obchodov
  380000/646995 barov, 57 obchodov
  400000/646995 barov, 59 obchodov
  420000/646995 barov, 60 obchodov
  440000/646995 barov, 62 obchodov
  460000/646995 barov, 63 obchodov
  480000/646995 barov, 69 obchodov
  500000/646995 barov, 74 obchodov
  520000/646995 barov, 75 obchodov
  540000/646995 barov, 75 obchodov
  560000/646995 barov, 77 obchodov
  580000/646995 barov, 82 obchodov
  600000/646995 barov, 88 obchodov
  620000/646995 barov, 93 obchodov
  640000/646995 barov, 97 obchodov
hotovo: 97 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 68577, 'swing': 77636, 'structure': 62446, 'session': 2944, 'sd_zone_pre': 27239, 'sd_zone_post': 27239, 'liq_sweep': 8960, 'skip': 124, 'tp_box': 121, 'sl_box': 121, 'expired': 24, 'sr_level': 8, 'sr_golden': 6}
