$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 1 obchodov
  40000/646995 barov, 5 obchodov
  60000/646995 barov, 7 obchodov
  80000/646995 barov, 8 obchodov
  100000/646995 barov, 10 obchodov
  120000/646995 barov, 11 obchodov
  140000/646995 barov, 16 obchodov
  160000/646995 barov, 22 obchodov
  180000/646995 barov, 25 obchodov
  200000/646995 barov, 29 obchodov
  220000/646995 barov, 33 obchodov
  240000/646995 barov, 39 obchodov
  260000/646995 barov, 43 obchodov
  280000/646995 barov, 45 obchodov
  300000/646995 barov, 47 obchodov
  320000/646995 barov, 47 obchodov
  340000/646995 barov, 49 obchodov
  360000/646995 barov, 50 obchodov
  380000/646995 barov, 51 obchodov
  400000/646995 barov, 53 obchodov
  420000/646995 barov, 54 obchodov
  440000/646995 barov, 57 obchodov
  460000/646995 barov, 58 obchodov
  480000/646995 barov, 64 obchodov
  500000/646995 barov, 69 obchodov
  520000/646995 barov, 70 obchodov
  540000/646995 barov, 70 obchodov
  560000/646995 barov, 71 obchodov
  580000/646995 barov, 76 obchodov
  600000/646995 barov, 82 obchodov
  620000/646995 barov, 87 obchodov
  640000/646995 barov, 91 obchodov
hotovo: 91 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 2944, 'sd_zone_pre': 26310, 'sd_zone_post': 26310, 'liq_sweep': 8960, 'skip': 99, 'tp_box': 113, 'sl_box': 113, 'expired': 22, 'sr_level': 8, 'sr_golden': 6}
