$ emulator MultiCharts NAS100 3m 20210103-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 646995 barov 3m, 1940333 1m, 646995 HTF
  20000/646995 barov, 16 obchodov
  40000/646995 barov, 38 obchodov
  60000/646995 barov, 54 obchodov
  80000/646995 barov, 60 obchodov
  100000/646995 barov, 74 obchodov
  120000/646995 barov, 87 obchodov
  140000/646995 barov, 118 obchodov
  160000/646995 barov, 147 obchodov
  180000/646995 barov, 169 obchodov
  200000/646995 barov, 187 obchodov
  220000/646995 barov, 204 obchodov
  240000/646995 barov, 226 obchodov
  260000/646995 barov, 238 obchodov
  280000/646995 barov, 248 obchodov
  300000/646995 barov, 260 obchodov
  320000/646995 barov, 273 obchodov
  340000/646995 barov, 288 obchodov
  360000/646995 barov, 296 obchodov
  380000/646995 barov, 304 obchodov
  400000/646995 barov, 318 obchodov
  420000/646995 barov, 334 obchodov
  440000/646995 barov, 349 obchodov
  460000/646995 barov, 359 obchodov
  480000/646995 barov, 381 obchodov
  500000/646995 barov, 401 obchodov
  520000/646995 barov, 409 obchodov
  540000/646995 barov, 419 obchodov
  560000/646995 barov, 436 obchodov
  580000/646995 barov, 451 obchodov
  600000/646995 barov, 472 obchodov
  620000/646995 barov, 500 obchodov
  640000/646995 barov, 522 obchodov
hotovo: 527 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 55754, 'swing': 77636, 'structure': 62446, 'session': 2952, 'sd_zone_pre': 26310, 'sd_zone_post': 26310, 'liq_sweep': 8960, 'tp_box': 686, 'sl_box': 686, 'expired': 158, 'skip': 338, 'sr_level': 8, 'sr_golden': 6}
