$ emulator MultiCharts MNQ 3m 20190505-20260910 (MNQ_USD-1m.feather)
emulacia MultiCharts: 865262 barov 3m, 2591788 1m, 0 HTF
  20000/865262 barov, 115 obchodov
  40000/865262 barov, 228 obchodov
  60000/865262 barov, 342 obchodov
  80000/865262 barov, 449 obchodov
  100000/865262 barov, 565 obchodov
  120000/865262 barov, 678 obchodov
  140000/865262 barov, 783 obchodov
  160000/865262 barov, 890 obchodov
  180000/865262 barov, 991 obchodov
  200000/865262 barov, 1098 obchodov
  220000/865262 barov, 1206 obchodov
  240000/865262 barov, 1321 obchodov
  260000/865262 barov, 1423 obchodov
  280000/865262 barov, 1529 obchodov
  300000/865262 barov, 1631 obchodov
  320000/865262 barov, 1741 obchodov
  340000/865262 barov, 1841 obchodov
  360000/865262 barov, 1942 obchodov
  380000/865262 barov, 2049 obchodov
  400000/865262 barov, 2153 obchodov
  420000/865262 barov, 2264 obchodov
  440000/865262 barov, 2368 obchodov
  460000/865262 barov, 2473 obchodov
  480000/865262 barov, 2595 obchodov
  500000/865262 barov, 2710 obchodov
  520000/865262 barov, 2823 obchodov
  540000/865262 barov, 2931 obchodov
  560000/865262 barov, 3040 obchodov
  580000/865262 barov, 3145 obchodov
  600000/865262 barov, 3248 obchodov
  620000/865262 barov, 3353 obchodov
  640000/865262 barov, 3459 obchodov
  660000/865262 barov, 3550 obchodov
  680000/865262 barov, 3658 obchodov
  700000/865262 barov, 3762 obchodov
  720000/865262 barov, 3873 obchodov
  740000/865262 barov, 3981 obchodov
  760000/865262 barov, 4093 obchodov
  780000/865262 barov, 4199 obchodov
  800000/865262 barov, 4305 obchodov
  820000/865262 barov, 4407 obchodov
  840000/865262 barov, 4515 obchodov
  860000/865262 barov, 4626 obchodov
hotovo: 4650 obchodov, nerozhodnutelnych minut 8
kresby: {'sd_demand': 26257, 'sd_pattern': 26257, 'sd_entry': 5713}
