$ emulator MultiCharts NAS100 3m 20211001-20260904 (NAS100_USD-1m.feather)
emulacia MultiCharts: 561097 barov 3m, 1682665 1m, 561097 HTF
  20000/561097 barov, 2 obchodov
  40000/561097 barov, 3 obchodov
  60000/561097 barov, 7 obchodov
  80000/561097 barov, 10 obchodov
  100000/561097 barov, 12 obchodov
  120000/561097 barov, 18 obchodov
  140000/561097 barov, 20 obchodov
  160000/561097 barov, 21 obchodov
  180000/561097 barov, 21 obchodov
  200000/561097 barov, 23 obchodov
  220000/561097 barov, 23 obchodov
  240000/561097 barov, 23 obchodov
  260000/561097 barov, 23 obchodov
  280000/561097 barov, 23 obchodov
  300000/561097 barov, 27 obchodov
  320000/561097 barov, 27 obchodov
  340000/561097 barov, 29 obchodov
  360000/561097 barov, 29 obchodov
  380000/561097 barov, 30 obchodov
  400000/561097 barov, 35 obchodov
  420000/561097 barov, 37 obchodov
  440000/561097 barov, 39 obchodov
  460000/561097 barov, 39 obchodov
  480000/561097 barov, 40 obchodov
  500000/561097 barov, 43 obchodov
  520000/561097 barov, 47 obchodov
  540000/561097 barov, 52 obchodov
  560000/561097 barov, 54 obchodov
hotovo: 54 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 18926, 'swing': 67179, 'structure': 54132, 'liq_sweep': 8068, 'session': 2558, 'sd_zone_pre': 20534, 'sd_zone_post': 20534, 'skip': 18, 'tp_box': 67, 'sl_box': 67, 'expired': 13, 'sr_level': 8, 'sr_golden': 6}
