$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 1 obchodov
  40000/581435 barov, 2 obchodov
  60000/581435 barov, 12 obchodov
  80000/581435 barov, 20 obchodov
  100000/581435 barov, 27 obchodov
  120000/581435 barov, 31 obchodov
  140000/581435 barov, 36 obchodov
  160000/581435 barov, 44 obchodov
  180000/581435 barov, 50 obchodov
  200000/581435 barov, 54 obchodov
  220000/581435 barov, 55 obchodov
  240000/581435 barov, 60 obchodov
  260000/581435 barov, 64 obchodov
  280000/581435 barov, 64 obchodov
  300000/581435 barov, 69 obchodov
  320000/581435 barov, 71 obchodov
  340000/581435 barov, 73 obchodov
  360000/581435 barov, 77 obchodov
  380000/581435 barov, 79 obchodov
  400000/581435 barov, 82 obchodov
  420000/581435 barov, 94 obchodov
  440000/581435 barov, 99 obchodov
  460000/581435 barov, 102 obchodov
  480000/581435 barov, 103 obchodov
  500000/581435 barov, 108 obchodov
  520000/581435 barov, 112 obchodov
  540000/581435 barov, 115 obchodov
  560000/581435 barov, 122 obchodov
  580000/581435 barov, 127 obchodov
hotovo: 127 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 46638, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 21444, 'sd_zone_post': 21444, 'skip': 85, 'tp_box': 153, 'sl_box': 153, 'expired': 25, 'sr_level': 12, 'sr_golden': 4}
