$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 3 obchodov
  40000/581435 barov, 4 obchodov
  60000/581435 barov, 14 obchodov
  80000/581435 barov, 22 obchodov
  100000/581435 barov, 30 obchodov
  120000/581435 barov, 34 obchodov
  140000/581435 barov, 39 obchodov
  160000/581435 barov, 47 obchodov
  180000/581435 barov, 54 obchodov
  200000/581435 barov, 60 obchodov
  220000/581435 barov, 64 obchodov
  240000/581435 barov, 70 obchodov
  260000/581435 barov, 76 obchodov
  280000/581435 barov, 79 obchodov
  300000/581435 barov, 87 obchodov
  320000/581435 barov, 92 obchodov
  340000/581435 barov, 95 obchodov
  360000/581435 barov, 105 obchodov
  380000/581435 barov, 111 obchodov
  400000/581435 barov, 116 obchodov
  420000/581435 barov, 129 obchodov
  440000/581435 barov, 135 obchodov
  460000/581435 barov, 140 obchodov
  480000/581435 barov, 147 obchodov
  500000/581435 barov, 155 obchodov
  520000/581435 barov, 162 obchodov
  540000/581435 barov, 167 obchodov
  560000/581435 barov, 178 obchodov
  580000/581435 barov, 188 obchodov
hotovo: 188 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 46638, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 21444, 'sd_zone_post': 21444, 'tp_box': 231, 'sl_box': 231, 'expired': 41, 'skip': 2, 'sr_level': 12, 'sr_golden': 4}
