$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 1 obchodov
  40000/581435 barov, 2 obchodov
  60000/581435 barov, 5 obchodov
  80000/581435 barov, 7 obchodov
  100000/581435 barov, 10 obchodov
  120000/581435 barov, 13 obchodov
  140000/581435 barov, 16 obchodov
  160000/581435 barov, 18 obchodov
  180000/581435 barov, 18 obchodov
  200000/581435 barov, 18 obchodov
  220000/581435 barov, 18 obchodov
  240000/581435 barov, 18 obchodov
  260000/581435 barov, 19 obchodov
  280000/581435 barov, 19 obchodov
  300000/581435 barov, 20 obchodov
  320000/581435 barov, 21 obchodov
  340000/581435 barov, 21 obchodov
  360000/581435 barov, 22 obchodov
  380000/581435 barov, 24 obchodov
  400000/581435 barov, 24 obchodov
  420000/581435 barov, 29 obchodov
  440000/581435 barov, 32 obchodov
  460000/581435 barov, 33 obchodov
  480000/581435 barov, 33 obchodov
  500000/581435 barov, 34 obchodov
  520000/581435 barov, 35 obchodov
  540000/581435 barov, 37 obchodov
  560000/581435 barov, 40 obchodov
  580000/581435 barov, 40 obchodov
hotovo: 40 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 17253, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 19293, 'sd_zone_post': 19293, 'tp_box': 53, 'sl_box': 53, 'expired': 13, 'skip': 10, 'sr_level': 12, 'sr_golden': 4}
