$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 4 obchodov
  40000/581435 barov, 8 obchodov
  60000/581435 barov, 14 obchodov
  80000/581435 barov, 26 obchodov
  100000/581435 barov, 37 obchodov
  120000/581435 barov, 45 obchodov
  140000/581435 barov, 50 obchodov
  160000/581435 barov, 53 obchodov
  180000/581435 barov, 57 obchodov
  200000/581435 barov, 58 obchodov
  220000/581435 barov, 62 obchodov
  240000/581435 barov, 64 obchodov
  260000/581435 barov, 67 obchodov
  280000/581435 barov, 67 obchodov
  300000/581435 barov, 68 obchodov
  320000/581435 barov, 69 obchodov
  340000/581435 barov, 73 obchodov
  360000/581435 barov, 75 obchodov
  380000/581435 barov, 79 obchodov
  400000/581435 barov, 83 obchodov
  420000/581435 barov, 94 obchodov
  440000/581435 barov, 99 obchodov
  460000/581435 barov, 101 obchodov
  480000/581435 barov, 102 obchodov
  500000/581435 barov, 107 obchodov
  520000/581435 barov, 111 obchodov
  540000/581435 barov, 116 obchodov
  560000/581435 barov, 121 obchodov
  580000/581435 barov, 124 obchodov
hotovo: 124 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 17253, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 19293, 'sd_zone_post': 19293, 'tp_box': 160, 'sl_box': 160, 'expired': 34, 'skip': 29, 'sr_level': 12, 'sr_golden': 4}
