$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 7 obchodov
  40000/581435 barov, 23 obchodov
  60000/581435 barov, 45 obchodov
  80000/581435 barov, 66 obchodov
  100000/581435 barov, 83 obchodov
  120000/581435 barov, 95 obchodov
  140000/581435 barov, 109 obchodov
  160000/581435 barov, 123 obchodov
  180000/581435 barov, 135 obchodov
  200000/581435 barov, 142 obchodov
  220000/581435 barov, 144 obchodov
  240000/581435 barov, 154 obchodov
  260000/581435 barov, 164 obchodov
  280000/581435 barov, 170 obchodov
  300000/581435 barov, 175 obchodov
  320000/581435 barov, 182 obchodov
  340000/581435 barov, 191 obchodov
  360000/581435 barov, 205 obchodov
  380000/581435 barov, 220 obchodov
  400000/581435 barov, 233 obchodov
  420000/581435 barov, 256 obchodov
  440000/581435 barov, 274 obchodov
  460000/581435 barov, 284 obchodov
  480000/581435 barov, 292 obchodov
  500000/581435 barov, 313 obchodov
  520000/581435 barov, 332 obchodov
  540000/581435 barov, 351 obchodov
  560000/581435 barov, 378 obchodov
  580000/581435 barov, 398 obchodov
hotovo: 398 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 17253, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 19293, 'sd_zone_post': 19293, 'tp_box': 522, 'sl_box': 522, 'expired': 123, 'skip': 29, 'sr_level': 12, 'sr_golden': 4}
