$ emulator MultiCharts MNQ 3m 20211001-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 581435 barov 3m, 1744299 1m, 581435 HTF
  20000/581435 barov, 9 obchodov
  40000/581435 barov, 27 obchodov
  60000/581435 barov, 49 obchodov
  80000/581435 barov, 75 obchodov
  100000/581435 barov, 92 obchodov
  120000/581435 barov, 106 obchodov
  140000/581435 barov, 122 obchodov
  160000/581435 barov, 138 obchodov
  180000/581435 barov, 153 obchodov
  200000/581435 barov, 162 obchodov
  220000/581435 barov, 166 obchodov
  240000/581435 barov, 180 obchodov
  260000/581435 barov, 191 obchodov
  280000/581435 barov, 198 obchodov
  300000/581435 barov, 205 obchodov
  320000/581435 barov, 214 obchodov
  340000/581435 barov, 224 obchodov
  360000/581435 barov, 238 obchodov
  380000/581435 barov, 256 obchodov
  400000/581435 barov, 271 obchodov
  420000/581435 barov, 297 obchodov
  440000/581435 barov, 317 obchodov
  460000/581435 barov, 328 obchodov
  480000/581435 barov, 337 obchodov
  500000/581435 barov, 362 obchodov
  520000/581435 barov, 381 obchodov
  540000/581435 barov, 404 obchodov
  560000/581435 barov, 436 obchodov
  580000/581435 barov, 460 obchodov
hotovo: 461 obchodov, nerozhodnutelnych minut 1
kresby: {'imb_box': 17253, 'swing': 70339, 'structure': 54684, 'liq_sweep': 8926, 'session': 2543, 'sd_zone_pre': 19293, 'sd_zone_post': 19293, 'tp_box': 561, 'sl_box': 561, 'expired': 98, 'skip': 46, 'sr_level': 12, 'sr_golden': 4}
