$ emulator MultiCharts MNQ 3m 20190505-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 863502 barov 3m, 2586508 1m, 863502 HTF
  20000/863502 barov, 7 obchodov
  40000/863502 barov, 15 obchodov
  60000/863502 barov, 18 obchodov
  80000/863502 barov, 21 obchodov
  100000/863502 barov, 35 obchodov
  120000/863502 barov, 59 obchodov
  140000/863502 barov, 77 obchodov
  160000/863502 barov, 99 obchodov
  180000/863502 barov, 122 obchodov
  200000/863502 barov, 132 obchodov
  220000/863502 barov, 162 obchodov
  240000/863502 barov, 187 obchodov
  260000/863502 barov, 199 obchodov
  280000/863502 barov, 209 obchodov
  300000/863502 barov, 222 obchodov
  320000/863502 barov, 245 obchodov
  340000/863502 barov, 279 obchodov
  360000/863502 barov, 314 obchodov
  380000/863502 barov, 341 obchodov
  400000/863502 barov, 362 obchodov
  420000/863502 barov, 390 obchodov
  440000/863502 barov, 411 obchodov
  460000/863502 barov, 439 obchodov
  480000/863502 barov, 454 obchodov
  500000/863502 barov, 470 obchodov
  520000/863502 barov, 484 obchodov
  540000/863502 barov, 497 obchodov
  560000/863502 barov, 504 obchodov
  580000/863502 barov, 515 obchodov
  600000/863502 barov, 529 obchodov
  620000/863502 barov, 548 obchodov
  640000/863502 barov, 565 obchodov
  660000/863502 barov, 581 obchodov
  680000/863502 barov, 596 obchodov
  700000/863502 barov, 630 obchodov
  720000/863502 barov, 648 obchodov
  740000/863502 barov, 658 obchodov
  760000/863502 barov, 668 obchodov
  780000/863502 barov, 689 obchodov
  800000/863502 barov, 707 obchodov
  820000/863502 barov, 732 obchodov
  840000/863502 barov, 759 obchodov
  860000/863502 barov, 778 obchodov
hotovo: 782 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 42086, 'structure': 81102, 'swing': 104869, 'session': 3851, 'sd_zone_pre': 36969, 'sd_zone_post': 36969, 'liq_sweep': 11770, 'skip': 1168, 'tp_box': 989, 'sl_box': 989, 'expired': 206, 'sr_level': 12, 'sr_golden': 4}
