$ emulator MultiCharts MNQ 2m 20190505-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 1295139 barov 2m, 2586508 1m, 863502 HTF
  20000/1295139 barov, 1 obchodov
  40000/1295139 barov, 1 obchodov
  60000/1295139 barov, 6 obchodov
  80000/1295139 barov, 7 obchodov
  100000/1295139 barov, 9 obchodov
  120000/1295139 barov, 11 obchodov
  140000/1295139 barov, 12 obchodov
  160000/1295139 barov, 31 obchodov
  180000/1295139 barov, 39 obchodov
  200000/1295139 barov, 46 obchodov
  220000/1295139 barov, 53 obchodov
  240000/1295139 barov, 64 obchodov
  260000/1295139 barov, 78 obchodov
  280000/1295139 barov, 83 obchodov
  300000/1295139 barov, 84 obchodov
  320000/1295139 barov, 92 obchodov
  340000/1295139 barov, 99 obchodov
  360000/1295139 barov, 106 obchodov
  380000/1295139 barov, 110 obchodov
  400000/1295139 barov, 113 obchodov
  420000/1295139 barov, 116 obchodov
  440000/1295139 barov, 123 obchodov
  460000/1295139 barov, 132 obchodov
  480000/1295139 barov, 142 obchodov
  500000/1295139 barov, 157 obchodov
  520000/1295139 barov, 162 obchodov
  540000/1295139 barov, 178 obchodov
  560000/1295139 barov, 190 obchodov
  580000/1295139 barov, 201 obchodov
  600000/1295139 barov, 208 obchodov
  620000/1295139 barov, 218 obchodov
  640000/1295139 barov, 224 obchodov
  660000/1295139 barov, 231 obchodov
  680000/1295139 barov, 241 obchodov
  700000/1295139 barov, 248 obchodov
  720000/1295139 barov, 249 obchodov
  740000/1295139 barov, 256 obchodov
  760000/1295139 barov, 267 obchodov
  780000/1295139 barov, 279 obchodov
  800000/1295139 barov, 287 obchodov
  820000/1295139 barov, 299 obchodov
  840000/1295139 barov, 303 obchodov
  860000/1295139 barov, 306 obchodov
  880000/1295139 barov, 311 obchodov
  900000/1295139 barov, 314 obchodov
  920000/1295139 barov, 320 obchodov
  940000/1295139 barov, 330 obchodov
  960000/1295139 barov, 339 obchodov
  980000/1295139 barov, 346 obchodov
  1000000/1295139 barov, 349 obchodov
  1020000/1295139 barov, 355 obchodov
  1040000/1295139 barov, 369 obchodov
  1060000/1295139 barov, 379 obchodov
  1080000/1295139 barov, 385 obchodov
  1100000/1295139 barov, 389 obchodov
  1120000/1295139 barov, 393 obchodov
  1140000/1295139 barov, 398 obchodov
  1160000/1295139 barov, 404 obchodov
  1180000/1295139 barov, 408 obchodov
  1200000/1295139 barov, 419 obchodov
  1220000/1295139 barov, 433 obchodov
  1240000/1295139 barov, 437 obchodov
  1260000/1295139 barov, 446 obchodov
  1280000/1295139 barov, 454 obchodov
hotovo: 458 obchodov, nerozhodnutelnych minut 0
kresby: {'imb_box': 49712, 'swing': 158193, 'structure': 121926, 'liq_sweep': 15136, 'session': 3900, 'sd_zone_pre': 24765, 'sd_zone_post': 24765, 'skip': 855, 'tp_box': 587, 'sl_box': 587, 'expired': 128, 'sr_level': 12, 'sr_golden': 4}
