$ emulator MultiCharts MNQ 1m 20250904-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 354420 barov 1m, 354420 1m, 118140 HTF
  20000/354420 barov, 3 obchodov
  40000/354420 barov, 8 obchodov
  60000/354420 barov, 21 obchodov
  80000/354420 barov, 36 obchodov
  100000/354420 barov, 47 obchodov
  120000/354420 barov, 53 obchodov
  140000/354420 barov, 65 obchodov
  160000/354420 barov, 79 obchodov
  180000/354420 barov, 94 obchodov
  200000/354420 barov, 107 obchodov
  220000/354420 barov, 118 obchodov
  240000/354420 barov, 127 obchodov
  260000/354420 barov, 140 obchodov
  280000/354420 barov, 152 obchodov
  300000/354420 barov, 173 obchodov
  320000/354420 barov, 188 obchodov
  340000/354420 barov, 196 obchodov
hotovo: 210 obchodov, nerozhodnutelnych minut 3
kresby: {'structure': 32624, 'imb_box': 10665, 'swing': 42523, 'liq_sweep': 4832, 'session': 259, 'sd_zone_pre': 1856, 'sd_zone_post': 1856, 'skip': 171, 'tp_box': 234, 'sl_box': 234, 'expired': 24, 'sr_golden': 6, 'sr_level': 4}
