$ emulator MultiCharts MNQ 1m 20250904-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 354420 barov 1m, 354420 1m, 118140 HTF
  20000/354420 barov, 10 obchodov
  40000/354420 barov, 33 obchodov
  60000/354420 barov, 62 obchodov
  80000/354420 barov, 98 obchodov
  100000/354420 barov, 112 obchodov
  120000/354420 barov, 123 obchodov
  140000/354420 barov, 145 obchodov
  160000/354420 barov, 184 obchodov
  180000/354420 barov, 218 obchodov
  200000/354420 barov, 249 obchodov
  220000/354420 barov, 270 obchodov
  240000/354420 barov, 287 obchodov
  260000/354420 barov, 318 obchodov
  280000/354420 barov, 355 obchodov
  300000/354420 barov, 400 obchodov
  320000/354420 barov, 439 obchodov
  340000/354420 barov, 463 obchodov
hotovo: 477 obchodov, nerozhodnutelnych minut 7
kresby: {'session': 1279, 'structure': 32624, 'imb_box': 10665, 'swing': 42523, 'sd_zone_pre': 14711, 'sd_zone_post': 14711, 'skip': 726, 'liq_sweep': 2058, 'tp_box': 562, 'sl_box': 562, 'expired': 83, 'sr_golden': 6, 'sr_level': 4}
