$ emulator MultiCharts MNQ 1m 20250904-20260904 (MNQ_USD-1m.feather)
emulacia MultiCharts: 354420 barov 1m, 354420 1m, 118140 HTF
  20000/354420 barov, 7 obchodov
  40000/354420 barov, 26 obchodov
  60000/354420 barov, 49 obchodov
  80000/354420 barov, 87 obchodov
  100000/354420 barov, 99 obchodov
  120000/354420 barov, 115 obchodov
  140000/354420 barov, 133 obchodov
  160000/354420 barov, 170 obchodov
  180000/354420 barov, 208 obchodov
  200000/354420 barov, 245 obchodov
  220000/354420 barov, 270 obchodov
  240000/354420 barov, 287 obchodov
  260000/354420 barov, 321 obchodov
  280000/354420 barov, 360 obchodov
  300000/354420 barov, 403 obchodov
  320000/354420 barov, 434 obchodov
  340000/354420 barov, 455 obchodov
hotovo: 467 obchodov, nerozhodnutelnych minut 4
kresby: {'session': 1287, 'structure': 32624, 'imb_box': 10665, 'swing': 42523, 'sd_zone_pre': 14711, 'sd_zone_post': 14711, 'skip': 839, 'liq_sweep': 2058, 'tp_box': 585, 'sl_box': 585, 'expired': 116, 'sr_golden': 6, 'sr_level': 4}
