$ emulator MultiCharts MNQ 3m 20190505-20260910 (MNQ_USD-1m.feather)
emulacia MultiCharts: 865262 barov 3m, 2591788 1m, 865262 HTF
  20000/865262 barov, 25 obchodov
  40000/865262 barov, 54 obchodov
  60000/865262 barov, 72 obchodov
  80000/865262 barov, 76 obchodov
  100000/865262 barov, 111 obchodov
  120000/865262 barov, 182 obchodov
  140000/865262 barov, 221 obchodov
  160000/865262 barov, 269 obchodov
  180000/865262 barov, 319 obchodov
  200000/865262 barov, 338 obchodov
  220000/865262 barov, 382 obchodov
  240000/865262 barov, 424 obchodov
  260000/865262 barov, 442 obchodov
  280000/865262 barov, 458 obchodov
  300000/865262 barov, 487 obchodov
  320000/865262 barov, 531 obchodov
  340000/865262 barov, 598 obchodov
  360000/865262 barov, 665 obchodov
  380000/865262 barov, 735 obchodov
  400000/865262 barov, 800 obchodov
  420000/865262 barov, 853 obchodov
  440000/865262 barov, 907 obchodov
  460000/865262 barov, 958 obchodov
  480000/865262 barov, 988 obchodov
  500000/865262 barov, 1026 obchodov
  520000/865262 barov, 1063 obchodov
  540000/865262 barov, 1105 obchodov
  560000/865262 barov, 1126 obchodov
  580000/865262 barov, 1158 obchodov
  600000/865262 barov, 1190 obchodov
  620000/865262 barov, 1231 obchodov
  640000/865262 barov, 1275 obchodov
  660000/865262 barov, 1304 obchodov
  680000/865262 barov, 1359 obchodov
  700000/865262 barov, 1434 obchodov
  720000/865262 barov, 1499 obchodov
  740000/865262 barov, 1519 obchodov
  760000/865262 barov, 1556 obchodov
  780000/865262 barov, 1605 obchodov
  800000/865262 barov, 1651 obchodov
  820000/865262 barov, 1712 obchodov
  840000/865262 barov, 1771 obchodov
  860000/865262 barov, 1821 obchodov
hotovo: 1828 obchodov, nerozhodnutelnych minut 7
kresby: {'imb_box': 25393, 'structure': 81254, 'swing': 105075, 'session': 8707, 'sd_zone_pre': 96244, 'sd_zone_post': 96244, 'skip': 1658, 'tp_box': 2149, 'sl_box': 2149, 'expired': 319, 'liq_sweep': 5742, 'sr_level': 8, 'sr_golden': 6}
