$ emulator MultiCharts MNQ 3m 20190505-20260910 (MNQ_USD-1m.feather)
emulacia MultiCharts: 865262 barov 3m, 2591788 1m, 865262 HTF
  20000/865262 barov, 26 obchodov
  40000/865262 barov, 56 obchodov
  60000/865262 barov, 74 obchodov
  80000/865262 barov, 78 obchodov
  100000/865262 barov, 114 obchodov
  120000/865262 barov, 187 obchodov
  140000/865262 barov, 228 obchodov
  160000/865262 barov, 276 obchodov
  180000/865262 barov, 326 obchodov
  200000/865262 barov, 348 obchodov
  220000/865262 barov, 394 obchodov
  240000/865262 barov, 434 obchodov
  260000/865262 barov, 451 obchodov
  280000/865262 barov, 468 obchodov
  300000/865262 barov, 497 obchodov
  320000/865262 barov, 542 obchodov
  340000/865262 barov, 609 obchodov
  360000/865262 barov, 675 obchodov
  380000/865262 barov, 745 obchodov
  400000/865262 barov, 809 obchodov
  420000/865262 barov, 863 obchodov
  440000/865262 barov, 918 obchodov
  460000/865262 barov, 969 obchodov
  480000/865262 barov, 1001 obchodov
  500000/865262 barov, 1039 obchodov
  520000/865262 barov, 1078 obchodov
  540000/865262 barov, 1121 obchodov
  560000/865262 barov, 1144 obchodov
  580000/865262 barov, 1176 obchodov
  600000/865262 barov, 1208 obchodov
  620000/865262 barov, 1249 obchodov
  640000/865262 barov, 1292 obchodov
  660000/865262 barov, 1319 obchodov
  680000/865262 barov, 1374 obchodov
  700000/865262 barov, 1448 obchodov
  720000/865262 barov, 1514 obchodov
  740000/865262 barov, 1535 obchodov
  760000/865262 barov, 1571 obchodov
  780000/865262 barov, 1618 obchodov
  800000/865262 barov, 1666 obchodov
  820000/865262 barov, 1722 obchodov
  840000/865262 barov, 1785 obchodov
  860000/865262 barov, 1836 obchodov
hotovo: 1844 obchodov, nerozhodnutelnych minut 3
kresby: {'imb_box': 25393, 'structure': 81254, 'swing': 105075, 'session': 8707, 'sd_zone_pre': 96244, 'sd_zone_post': 96244, 'skip': 1665, 'tp_box': 2129, 'sl_box': 2129, 'liq_sweep': 5742, 'expired': 283, 'sr_level': 8, 'sr_golden': 6}
