$ emulator MultiCharts MNQ 1m 20250910-20260910 (MNQ_USD-1m.feather)
emulacia MultiCharts: 354180 barov 1m, 354180 1m, 23612 HTF
  20000/354180 barov, 14 obchodov
  40000/354180 barov, 29 obchodov
  60000/354180 barov, 43 obchodov
  80000/354180 barov, 58 obchodov
  100000/354180 barov, 73 obchodov
  120000/354180 barov, 87 obchodov
  140000/354180 barov, 101 obchodov
  160000/354180 barov, 116 obchodov
  180000/354180 barov, 131 obchodov
  200000/354180 barov, 144 obchodov
  220000/354180 barov, 159 obchodov
  240000/354180 barov, 172 obchodov
  260000/354180 barov, 187 obchodov
  280000/354180 barov, 201 obchodov
  300000/354180 barov, 215 obchodov
  320000/354180 barov, 230 obchodov
  340000/354180 barov, 243 obchodov
hotovo: 254 obchodov, nerozhodnutelnych minut 0
kresby: {'bo_box': 258, 'bo_high': 258, 'bo_low': 258, 'bo_entry': 254}
